Country,Date,Sum_Confirmed,sum_Recovered,sum_Deaths,sum_Active,Median_CaseFatalityRatio,Median_IncidenceRate,Lat,Lon
United Kingdom,2020-08-14 00:00:00,315600,1479,46791,267330,7.41758241758242,351.8746080246,56.4907,-4.2026
United Kingdom,2020-08-15 00:00:00,315621,1481,46791,267349,7.41758241758242,353.047635432386,56.4907,-4.2026
United Kingdom,2020-08-16 00:00:00,319232,1486,46791,270955,7.41758241758242,354.539407804395,56.4907,-4.2026
United Kingdom,2020-08-17 00:00:00,320343,1486,46791,272066,7.41758241758242,354.932942847318,56.4907,-4.2026
United Kingdom,2020-08-18 00:00:00,321064,1490,41454,278120,7.41758241758242,355.757407972513,56.4907,-4.2026
United Kingdom,2020-08-19 00:00:00,322177,1493,41466,279218,7.4175824175,356.2058549,56.4907,-4.2026
United Kingdom,2020-08-20 00:00:00,323008,1495,41483,280030,7.41758241758242,357.836481176795,56.4907,-4.2026
United Kingdom,2020-08-21 00:00:00,324203,1544,41489,281170,7.41758241758242,358.541183462959,56.4907,-4.2026
United Kingdom,2020-08-22 00:00:00,325263,1544,41491,282228,6.26603934987169,359.484230734615,56.4907,-4.2026
United Kingdom,2020-08-23 00:00:00,326595,1547,41509,283539,6.26603934987169,360.609923996929,56.4907,-4.2026
United Kingdom,2020-08-24 00:00:00,327643,1547,41515,284581,6.26603934987169,361.369538149547,56.4907,-4.2026
United Kingdom,2020-08-25 00:00:00,328620,1550,41519,285551,6.25,362.560082384438,56.4907,-4.2026
United Kingdom,2020-08-26 00:00:00,329821,1551,41535,286735,6.25,364.135796812888,56.4907,-4.2026
United Kingdom,2020-08-27 00:00:00,330967,1551,41552,287864,6.25,366.15145730537,56.4907,-4.2026
United Kingdom,2020-08-28 00:00:00,332509,1564,41564,289381,6.25,368.60733771022,56.4907,-4.2026
United Kingdom,2020-08-29 00:00:00,333806,1615,41573,290618,6.25,370.639545722627,56.4907,-4.2026
United Kingdom,2020-08-30 00:00:00,334916,1622,41585,291709,6.2341504649197,371.444919763957,56.4907,-4.2026
United Kingdom,2020-08-31 00:00:00,336668,1624,41586,293458,6.2341504649197,372.570613026271,56.4907,-4.2026
United Kingdom,2020-09-01 00:00:00,338083,1682,41589,294812,6.18770764119601,374.034929465053,56.4907,-4.2026
United Kingdom,2020-09-02 00:00:00,339415,1709,41592,296114,6.18770764119601,375.444334037381,56.4907,-4.2026
United Kingdom,2020-09-03 00:00:00,340929,1742,41602,297585,6.18770764119601,376.872042565194,56.4907,-4.2026
United Kingdom,2020-09-04 00:00:00,342708,1750,41616,299342,6.1576354679803,377.796392317176,56.4907,-4.2026
United Kingdom,2020-09-05 00:00:00,344686,1756,41626,301304,6.14285714285714,379.251556778216,56.4907,-4.2026
United Kingdom,2020-09-06 00:00:00,346513,1806,41638,303069,6.14285714285714,380.541985639893,56.4907,-4.2026
United Kingdom,2020-09-07 00:00:00,349500,1824,41640,306036,6.1322594319627,382.44559701031,56.4907,-4.2026
United Kingdom,2020-09-08 00:00:00,352453,1824,41643,308984,6.1322594319627,383.781785760699,56.4907,-4.2026
United Kingdom,2020-09-09 00:00:00,354934,1827,41675,311430,6.1322594319627,384.781421701585,56.4907,-4.2026
United Kingdom,2020-09-10 00:00:00,357615,1833,41683,314099,6.10320374189006,384.781421701585,56.4907,-4.2026
United Kingdom,2020-09-11 00:00:00,360546,1847,41697,317002,6.07690928459177,384.781421701585,56.4907,-4.2026
United Kingdom,2020-09-12 00:00:00,364090,1850,41703,320518,6.03861811095091,384.781421701585,56.4907,-4.2026
United Kingdom,2020-09-13 00:00:00,367594,1882,41712,324000,5.99442101554823,384.781421701585,56.4907,-4.2026
United Kingdom,2020-09-14 00:00:00,370932,2148,41717,327067,5.9582978275,384.7814217,56.4907,-4.2026
United Kingdom,2020-09-15 00:00:00,373557,2154,41726,329677,5.92596542558008,385.957449549925,56.4907,-4.2026
United Kingdom,2020-09-16 00:00:00,376672,2186,41753,332733,5.9004062852609,386.727848687251,56.4907,-4.2026
United Kingdom,2020-09-17 00:00:00,380679,2192,41773,336714,5.8475198495,386.7278487,56.4907,-4.2026
United Kingdom,2020-09-18 00:00:00,384089,2203,41794,340092,5.7911878375,388.19413295,56.4907,-4.2026
United Kingdom,2020-09-19 00:00:00,388418,2215,41821,344382,5.742894763,388.19413295,56.4907,-4.2026
